Date,0P00006G2D.SI,0P00006ONO.SI,0P00000K03,0P00009VQG.SI,JAGCX,0P0001DK5T.SI,0P000161I1,0P0001NP7X.SI,0P00019B21.HK,PEBCX
2015/3/16,,,,,9.535103798,,,,,6.456185818
2015/3/17,,,,,9.664620399,,,,,6.462686539
2015/3/18,,,,,9.669086456,,,,,6.527635574
2015/3/19,,,,,9.727146149,,,,,6.566607475
2015/3/20,,,,,9.713747978,,,,,6.599085808
2015/3/23,,,,,9.669086456,,,,,6.631557465
2015/3/24,,,,,9.441317558,,,,,6.65104866
2015/3/25,,,,,9.396656036,,,,,6.631557465
2015/3/26,,,,,9.401120186,,,,,6.631557465
2015/3/27,,,,,9.508306503,,,,,6.63805294
2015/3/30,,,,,9.459180832,,,,,6.665418148
2015/3/31,,,,,9.423451424,,,,,6.697996616
2015/4/1,,,,,9.454715729,,,,,6.730573654
2015/4/2,,,,,9.539570808,,,,,6.743609428
2015/4/6,,,,,9.530637741,,,,,6.763149738
2015/4/7,,,,,9.597629547,,,,,6.795733452
2015/4/8,,,,,9.637824059,,,,,6.828307152
2015/4/9,,,,,9.67355442,,,,,6.834820271
2015/4/10,,,,,9.642289162,,,,,6.841340542
2015/4/13,,,,,9.619959831,,,,,6.860888481
2015/4/14,,,,,9.68248558,,,,,6.854373932
2015/4/15,,,,,9.709282875,,,,,6.847859383
2015/4/16,,,,,9.570832253,,,,,6.828307152
2015/4/17,,,,,9.664620399,,,,,6.815278053
2015/4/20,,,,,9.700348854,,,,,6.815278053
2015/4/21,,,,,9.771806717,,,,,6.828307152
2015/4/22,,,,,9.776272774,,,,,6.854373932
2015/4/23,,,,,9.789672852,,,,,6.886952877
2015/4/24,,,,,9.803070068,,,,,6.886952877
2015/4/27,,,,,9.771806717,,,,,6.880433083
2015/4/28,,,,,9.67801857,,,,,6.860888481
2015/4/29,,,,,9.544036865,,,,,6.861538887
2015/4/30,,,,,9.602095604,,,,,6.848465919
2015/5/1,,,,,9.642289162,,,,,6.848465919
2015/5/4,,,,,9.517240524,,,,,6.841937065
2015/5/5,,,,,9.472578049,,,,,6.828866482
2015/5/6,,,,,9.544036865,,,,,6.822329521
2015/5/7,,,,,9.628891945,,,,,6.855005264
2015/5/8,,,,,9.615493774,,,,,6.848465919
2015/5/11,,,,,9.566367149,,,,,6.809260845
2015/5/12,,,,,9.593164444,,,,,6.835399151
2015/5/13,,,,,9.731611252,,,,,6.835399151
2015/5/14,,,,,9.713747978,,,,,6.861538887
2015/5/15,,,,,9.7584095,,,,,6.861538887
2015/5/18,,,,,9.7584095,,,,,6.841937065
2015/5/19,,,,,9.7584095,,,,,6.841937065
2015/5/20,,,,,9.789672852,,,,,6.861538887
2015/5/21,,,,,9.816468239,,,,,6.874613762
2015/5/22,,,,,9.718214035,,,,,6.861538887
2015/5/26,,,,,9.829866409,,,,,6.841937065
2015/5/27,,,,,9.812001228,,,,,6.822329521
2015/5/28,,,,,9.727146149,,,,,6.8347826
2015/5/29,,,,,9.745010376,,,,,6.815122128
2015/6/1,,,,,9.75394249,,,,,6.7954669
2015/6/2,,,,,9.789672852,,,,,6.769256115
2015/6/3,,,,,9.727146149,,,,,6.749591827
2015/6/4,,,,,9.745010376,,,,,6.71027565
2015/6/5,,,,,9.633357048,,,,,6.690612793
2015/6/8,,,,,9.606560707,,,,,6.677509308
2015/6/9,,,,,9.718214035,,,,,6.657850742
